Source,Relation,Target
ACTB,involved_in(Reactome),Signal Transduction
ACTB,involved_in(Reactome),Disease
ACTB,involved_in(Reactome),Innate Immune System
ACTB,involved_in(Reactome),Immune System
ACTB,involved_in(Reactome),Gap junction trafficking
ACTB,involved_in(Reactome),Gap junction degradation
ACTB,involved_in(Reactome),Signaling by VEGF
ACTB,involved_in(Reactome),Signaling by Rho GTPases
ACTB,involved_in(Reactome),RHO GTPase Effectors
ACTB,involved_in(Reactome),Formation of annular gap junctions
ACTB,involved_in(Reactome),Membrane Trafficking
ACTB,involved_in(Reactome),Fcgamma receptor (FCGR) dependent phagocytosis
ACTB,involved_in(Reactome),Regulation of actin dynamics for phagocytic cup formation
ACTB,involved_in(Reactome),Epigenetic regulation of gene expression
ACTB,involved_in(Reactome),EPH-Ephrin signaling
ACTB,involved_in(Reactome),Non-integrin membrane-ECM interactions
ACTB,involved_in(Reactome),HATs acetylate histones
ACTB,involved_in(Reactome),Chromatin modifying enzymes
ACTB,involved_in(Reactome),L1CAM interactions
ACTB,involved_in(Reactome),Prefoldin mediated transfer of substrate  to CCT/TriC
ACTB,involved_in(Reactome),Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding
ACTB,involved_in(Reactome),Folding of actin by CCT/TriC
ACTB,involved_in(Reactome),Chaperonin-mediated protein folding
ACTB,involved_in(Reactome),Protein folding
ACTB,involved_in(Reactome),Metabolism of proteins
ACTB,involved_in(Reactome),EPHB-mediated forward signaling
ACTB,involved_in(Reactome),EPH-ephrin mediated repulsion of cells
ACTB,involved_in(Reactome),Adherens junctions interactions
ACTB,involved_in(Reactome),Cell-cell junction organization
ACTB,involved_in(Reactome),Axon guidance
ACTB,involved_in(Reactome),Recycling pathway of L1
ACTB,involved_in(Reactome),VEGFA-VEGFR2 Pathway
ACTB,involved_in(Reactome),Interaction between L1 and Ankyrins
ACTB,involved_in(Reactome),Cell-extracellular matrix interactions
ACTB,involved_in(Reactome),Cell junction organization
ACTB,involved_in(Reactome),Chromatin organization
ACTB,involved_in(Reactome),Positive epigenetic regulation of rRNA expression
ACTB,involved_in(Reactome),B-WICH complex positively regulates rRNA expression
ACTB,involved_in(Reactome),RHO GTPases activate IQGAPs
ACTB,involved_in(Reactome),Vesicle-mediated transport
ACTB,involved_in(Reactome),Diseases of signal transduction by growth factor receptors and second messengers
ACTB,involved_in(Reactome),Infectious disease
ACTB,involved_in(Reactome),RHO GTPases Activate WASPs and WAVEs
ACTB,involved_in(Reactome),RHO GTPases Activate Formins
ACTB,involved_in(Reactome),RAF/MAP kinase cascade
ACTB,involved_in(Reactome),MAP2K and MAPK activation
ACTB,involved_in(Reactome),MAPK family signaling cascades
ACTB,involved_in(Reactome),MAPK1/MAPK3 signaling
ACTB,involved_in(Reactome),Deubiquitination
ACTB,involved_in(Reactome),UCH proteinases
ACTB,involved_in(Reactome),DNA Damage Recognition in GG-NER
ACTB,involved_in(Reactome),Nucleotide Excision Repair
ACTB,involved_in(Reactome),Global Genome Nucleotide Excision Repair (GG-NER)
ACTB,involved_in(Reactome),Post-translational protein modification
ACTB,involved_in(Reactome),Signaling by moderate kinase activity BRAF mutants
ACTB,involved_in(Reactome),Signaling by high-kinase activity BRAF mutants
ACTB,involved_in(Reactome),Signaling by RAS mutants
ACTB,involved_in(Reactome),Signaling by BRAF and RAF1 fusions
ACTB,involved_in(Reactome),Paradoxical activation of RAF signaling by kinase inactive BRAF
ACTB,involved_in(Reactome),Oncogenic MAPK signaling
ACTB,involved_in(Reactome),DNA Repair
ACTB,involved_in(Reactome),Gene expression (Transcription)
ACTB,involved_in(Reactome),Clathrin-mediated endocytosis
